Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster,Perfil
Male,Single,57,University,135830,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,26,Other/Unknown,58258,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,52,High school,202575,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Female,Non-single,31,High school,183657,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,23,High school,152267,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,23,High school,115240,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Non-single,27,High school,106955,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,50,High school,123641,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,61,University,166410,Management/Highly qualified,Mid-sized city,3,Idosos - Alta Renda
Male,Single,25,Other/Unknown,227385,Skilled employee/Official,Big city,2,Adultos - Alta Renda
Female,Non-single,26,High school,118372,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,48,High school,148115,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,29,High school,111069,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Non-single,22,High school,139780,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,37,High school,106978,Skilled employee/Official,Big city,1,Adultos - Renda Média
Female,Non-single,25,High school,110019,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,30,High school,169102,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,46,High school,73703,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,51,High school,141858,Management/Highly qualified,Big city,3,Idosos - Alta Renda
Female,Non-single,41,University,135959,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,40,High school,140888,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,66,University,157299,Management/Highly qualified,Big city,3,Idosos - Alta Renda
Male,Single,34,High school,125187,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,51,High school,155486,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,39,High school,151697,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Non-single,22,High school,126400,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,44,University,159246,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,47,High school,136138,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,24,High school,84792,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,58,University,100210,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,52,High school,93706,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,29,High school,133783,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,27,High school,110064,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,47,High school,241068,Skilled employee/Official,Mid-sized city,2,Adultos - Alta Renda
Male,Single,30,Other/Unknown,149022,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,28,Other/Unknown,92973,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,56,High school,110605,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,54,High school,116604,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,33,High school,71070,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,20,Other/Unknown,128678,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,54,High school,165230,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,58,University,268340,Skilled employee/Official,Mid-sized city,2,Adultos - Alta Renda
Female,Non-single,61,University,135070,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,34,High school,134794,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,36,High school,120153,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,36,High school,195465,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Non-single,41,High school,93372,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,24,Other/Unknown,110446,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,24,High school,95186,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,35,High school,115343,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Non-single,26,High school,107276,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,39,High school,244716,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,39,High school,183108,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,32,Other/Unknown,152876,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,30,High school,165147,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Non-single,35,High school,140520,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Non-single,31,High school,124203,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,23,High school,107205,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,28,Other/Unknown,121432,Unemployed/Unskilled,Big city,0,Adultos - Alta Renda
Female,Non-single,25,High school,162445,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Non-single,35,High school,134112,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,47,High school,131842,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Female,Non-single,30,High school,189896,Management/Highly qualified,Small city,0,Adultos - Alta Renda
Female,Non-single,27,High school,109099,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,153539,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,36,High school,180495,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,25,High school,104653,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,41,University,166933,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,24,Other/Unknown,66118,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,63,University,135754,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Female,Non-single,27,High school,116103,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,104293,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Non-single,40,High school,71702,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,30,Other/Unknown,99066,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,34,High school,143979,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,29,High school,123818,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,24,High school,176714,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,29,Other/Unknown,149249,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,77535,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,47,High school,116540,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Female,Non-single,21,High school,194728,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,38,High school,109311,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,27,Other/Unknown,204723,Skilled employee/Official,Big city,2,Adultos - Alta Renda
Male,Single,66,University,126003,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,35,High school,123109,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,44,University,108251,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,27,High school,89908,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,30,High school,176057,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,144332,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,22,Other/Unknown,101185,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,107406,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,140665,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,39,University,106461,Skilled employee/Official,Small city,1,Adultos - Renda Média
Female,Non-single,51,University,127825,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Single,28,Other/Unknown,133898,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,46,High school,152383,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,42,High school,119926,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,38,High school,108784,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,24,Other/Unknown,153286,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,29,High school,214204,Skilled employee/Official,Big city,2,Adultos - Alta Renda
Male,Single,36,High school,208101,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Female,Non-single,20,High school,95355,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,48,High school,124156,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Non-single,45,University,72215,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,38,High school,146529,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,34,High school,75343,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,36,High school,129789,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,30,High school,101153,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,36,High school,127833,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,70,University,224998,Management/Highly qualified,Big city,3,Idosos - Alta Renda
Male,Single,36,High school,124445,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,32,Other/Unknown,141116,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,33,High school,104276,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,20,High school,147687,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,25,High school,125168,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,31,High school,115369,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,33,High school,95445,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,26,High school,95159,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,34,High school,153031,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,33,High school,108899,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,26,Other/Unknown,113515,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,53,University,211229,Management/Highly qualified,Small city,2,Adultos - Alta Renda
Male,Non-single,42,University,121307,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,52,High school,131727,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,31,Other/Unknown,133574,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,65,University,117334,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Non-single,28,High school,177291,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,30,High school,168763,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,40,High school,77720,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,50,High school,176645,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,36,High school,106205,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,31,Other/Unknown,97785,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,74,Graduate school,214364,Management/Highly qualified,Mid-sized city,3,Idosos - Alta Renda
Male,Single,68,University,74525,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Non-single,20,High school,98988,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,33,High school,133561,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,54,High school,217651,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,34,High school,116525,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,36,High school,135302,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,29,High school,106434,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,21,Other/Unknown,128350,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,34,High school,147626,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,28,High school,102697,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,27,High school,120262,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,36,High school,124214,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,40,High school,175223,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,52,High school,137467,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Non-single,27,High school,65815,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,26,Other/Unknown,129864,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,21,High school,88475,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,38,High school,74666,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,38,High school,222294,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,43,High school,112878,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,26,Other/Unknown,103411,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Non-single,21,High school,112868,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,55,High school,157940,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,33,High school,115835,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,45,University,109807,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,50,High school,150699,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,66,University,178967,Management/Highly qualified,Small city,3,Idosos - Alta Renda
Male,Single,51,High school,132767,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Female,Non-single,39,University,86152,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,31,Other/Unknown,114528,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,23,Other/Unknown,133912,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,24,High school,81210,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,64,Graduate school,131242,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Non-single,26,High school,68804,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,96961,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,90719,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,32,Other/Unknown,114116,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,128639,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,106623,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,27,Other/Unknown,236264,Skilled employee/Official,Mid-sized city,2,Adultos - Alta Renda
Male,Single,53,High school,207783,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Male,Single,22,Other/Unknown,91739,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,22,Other/Unknown,107780,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,26,Other/Unknown,139157,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,51,High school,121751,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,35,High school,121974,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Non-single,25,High school,70320,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,42,High school,78327,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,30,Other/Unknown,131433,Management/Highly qualified,Small city,0,Adultos - Alta Renda
Male,Single,23,Other/Unknown,167076,Unemployed/Unskilled,Big city,0,Adultos - Alta Renda
Male,Non-single,61,University,130788,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,35,High school,107408,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,39,High school,115323,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Female,Non-single,29,High school,99012,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,51,High school,115996,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,24,Other/Unknown,123353,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,27,High school,100008,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,35,High school,125105,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,25,Other/Unknown,92020,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,52,High school,108365,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,35,High school,112979,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,26,Other/Unknown,117221,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,22,High school,88800,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,39,University,115099,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,46,University,113399,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,24,High school,115879,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,35,High school,141270,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,24,Other/Unknown,107633,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,27,Other/Unknown,131751,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,35,High school,83687,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,29,High school,106828,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,135537,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,57,University,107142,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,27,Other/Unknown,97446,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,55,University,126357,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,36,High school,169617,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,57,University,108945,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,32,Other/Unknown,67345,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,37,High school,106215,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,36,High school,149237,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,38,High school,112124,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Non-single,45,University,215150,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,25,Other/Unknown,89534,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,32,Other/Unknown,111082,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,37,High school,137069,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,36,High school,244541,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,28,Other/Unknown,120712,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,34,High school,175367,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,32,Other/Unknown,111418,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,26,High school,110913,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Non-single,49,University,84267,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,32,High school,136886,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,29,Other/Unknown,144884,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,23,Other/Unknown,151180,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,50,High school,114997,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,49,High school,100961,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,63,University,124849,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Non-single,37,High school,152308,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,35,High school,167945,Unemployed/Unskilled,Mid-sized city,0,Adultos - Alta Renda
Male,Single,26,Other/Unknown,126706,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,31,Other/Unknown,210017,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Female,Non-single,49,University,125665,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Non-single,48,University,111184,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Non-single,26,High school,94134,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Non-single,28,High school,214620,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Female,Non-single,44,University,193816,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Male,Single,56,High school,168714,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Non-single,46,University,202997,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Female,Non-single,26,High school,192451,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,20,High school,127928,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,45,High school,78253,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,43,High school,118446,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,32,Other/Unknown,161379,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,54,University,56622,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,42,University,146117,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,37,High school,90418,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,49,High school,109053,Skilled employee/Official,Small city,1,Adultos - Renda Média
